iter	RMSE
0	33.94385894
1	33.47415593
2	33.04583383
3	32.62568299
4	32.16325318
5	31.78920782
6	31.41164807
7	31.03979569
8	30.70890197
9	30.32187078
10	29.99722517
11	29.6760306
12	29.35862745
13	29.06372627
14	28.7723884
15	28.48768337
16	28.21153042
17	27.92946553
18	27.62619725
19	27.35960035
20	27.09964987
21	26.87394661
22	26.63384147
23	26.37269019
24	26.10021367
25	25.84265118
26	25.65065185
27	25.4590394
28	25.22298913
29	24.9947334
30	24.75241308
31	24.53475114
32	24.36717954
33	24.1510187
34	23.94824889
35	23.72672049
36	23.59225499
37	23.43073153
38	23.25643065
39	23.07600581
40	22.89902406
41	22.67277831
42	22.53519674
43	22.36824076
44	22.23360636
45	22.07253441
46	21.92981942
47	21.78437074
48	21.64862572
49	21.48711392
50	21.35670691
51	21.20740617
52	21.03528769
53	20.91593403
54	20.78710964
55	20.66969066
56	20.53969927
57	20.40968001
58	20.32388026
59	20.17179635
60	20.02205814
61	19.89188252
62	19.72977751
63	19.6110198
64	19.48823741
65	19.41369417
66	19.29112395
67	19.21349426
68	19.11674244
69	18.96983885
70	18.84311451
71	18.74614764
72	18.64283307
73	18.54408768
74	18.45837267
75	18.38921887
76	18.28771857
77	18.18172389
78	18.08929452
79	18.02484125
80	17.94150526
81	17.85986048
82	17.78901014
83	17.7094758
84	17.60484423
85	17.53102793
86	17.43967425
87	17.36049629
88	17.2981073
89	17.21119081
90	17.12902228
91	17.04617876
92	16.96576078
93	16.86567517
94	16.78887205
95	16.71564361
96	16.62973881
97	16.56405931
98	16.48805234
99	16.39472738
100	16.32916342
101	16.23687463
102	16.1853881
103	16.08606887
104	16.00381534
105	15.95232056
106	15.86677065
107	15.82001962
108	15.78303012
109	15.74232999
110	15.68770522
111	15.62944929
112	15.5627417
113	15.46362773
114	15.42357949
115	15.37951224
116	15.33602117
117	15.30230687
118	15.26701616
119	15.21907938
120	15.16736763
121	15.10026873
122	15.05916241
123	15.01150088
124	14.93471209
125	14.89307549
126	14.86108079
127	14.78194354
128	14.72948189
129	14.67719865
130	14.63408191
131	14.60075067
132	14.53727071
133	14.49638024
134	14.43054586
135	14.3678528
136	14.31518382
137	14.26193979
138	14.20274181
139	14.16322784
140	14.13026128
141	14.10304591
142	14.06986805
143	14.0399917
144	13.98902314
145	13.9398511
146	13.88791663
147	13.85226022
148	13.81965129
149	13.7888304
150	13.73529179
151	13.67855368
152	13.64048517
153	13.60308711
154	13.55471085
155	13.503138
156	13.47414686
157	13.42538271
158	13.39999617
159	13.35378903
160	13.32213857
161	13.24651014
162	13.20620447
163	13.16071953
164	13.08301701
165	13.06904877
166	13.03548479
167	12.98569205
168	12.96387371
169	12.92136938
170	12.8859502
171	12.8494922
172	12.81703889
173	12.80445266
174	12.78230887
175	12.72591471
176	12.67987622
177	12.64789459
178	12.62752648
179	12.5973162
180	12.49007751
181	12.44974062
182	12.41954101
183	12.37979899
184	12.33700062
